branch_id,mape,rmse_mln
1,9.75913405418396,95.94338901831108
2,6.290443986654282,34.185813757534454
3,4.296613112092018,20.250637255659093
4,7.1227967739105225,38.38257198878971
5,11.383102834224701,41.449227471782294
6,19.646085798740387,49.80101888055737
7,16.54277741909027,127.22272531250005
8,19.82111781835556,51.43851713601145
9,6.493793427944183,36.44724188239127
10,19.99792754650116,41.12383510438218
11,6.343157589435577,33.63515290605018
12,5.476946756243706,27.628956447164196
13,8.009351789951324,43.78456861618276
14,15.185026824474335,41.571288537754995
15,7.4170805513858795,34.16085020175136
16,22.09343910217285,54.82090562102425
17,18.300069868564606,48.35733644856929
18,11.177066713571548,44.301689178710106
19,17.925511300563812,35.769319009009045
20,17.668242752552032,40.329489731348104
