branch_id,mape,rmse_mln,outliers
1,7.107251512325226,66.60740867139117,1
2,5.49787584637629,29.56058026670674,0
3,8.689384176800255,40.62192396386595,0
4,11.00667017249945,53.60426307071893,1
5,5.468025252394117,19.462641480501322,1
6,7.320521092258621,18.347337925071663,0
7,3.8893035711799704,34.33620810497454,0
8,12.641877803056408,35.8875322497832,0
9,6.804523952632649,29.51806693380988,1
10,8.00410582070014,16.624305654810605,2
11,6.1623023316153835,30.516212411036697,0
12,8.53147809998562,37.35565937460429,1
13,8.15604078264552,33.52166083066209,0
14,5.422094570514308,16.48276365232687,2
15,3.7673050933184697,15.349792538654077,1
16,13.844029107832823,34.81051480368947,0
17,7.836547660098611,20.124837304333575,1
18,6.355003308589232,21.365027962359555,0
19,10.582757991460179,21.948733764848225,2
20,10.526865767406148,22.07605995199384,0
